Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop,market_id,Market_Units_Total,Dealers_to_CenterPop_Ratio,Units_to_CenterPop_Ratio,Units_per_Dealer_Avg,Market_Inventory_Total,Market_Dealers_Total,Inventory_per_Person,Dealers_per_Person,People_per_Car,People_per_Dealer
NO,33.48280355265727,-114.8807157662396,36.3841053700623,30.58014186557488,-111.4188427332939,-118.34258879918532,16,0,"(33.48280355265727, -114.8807157662396)",24750640.0,16_0_no,457.0,1.846416900734688e-05,1.846416900734688e-05,1.0,163219.0,3456.0,0.006594536545317616,0.00013963275293083332,151.64067908760623,7161.643518518518
NO,33.67738419541165,-121.81219196210554,36.57859286153471,30.774811820836423,-118.34256028122664,-125.28182364298443,17,0,"(33.67738419541165, -121.81219196210554)",5197723.0,17_0_no,140.0,2.6934871288831668e-05,2.6934871288831668e-05,1.0,39695.0,815.0,0.007636997970072664,0.00015679942928855577,130.94150396775413,6377.574233128835
NO,37.83928855100298,-70.07132780643346,40.73845771146853,34.93868900252769,-66.41658202742438,-73.72607358544253,18,0,"(37.83928855100298, -70.07132780643346)",0.0,18_0_no,38.0,0.0,0.0,1.0,11621.0,213.0,0.0,0.0,0.0,0.0
NO,38.06766897999913,-77.392074831176,40.9667240788265,35.16718070154846,-73.7260272835915,-81.0581223787605,19,0,"(38.06766897999913, -77.392074831176)",29999345.0,19_0_no,1687.0,5.6234561121251145e-05,5.6234561121251145e-05,1.0,348375.0,7856.0,0.011612753545119068,0.000261872384213722,86.11222102619304,3818.6538951120165
NO,38.29792815050726,-84.7356474249489,41.19686807250721,35.39755232695568,-81.05807486938036,-88.41321998051743,20,0,"(38.29792815050726, -84.7356474249489)",20547307.0,20_0_no,1006.0,4.8960187337445245e-05,4.8960187337445245e-05,1.0,203357.0,4432.0,0.009897014728012776,0.00021569736608305896,101.04056904852058,4636.125225631769
NO,38.53009343080608,-92.10249825188023,41.42891705025576,35.62983125969613,-88.41317121953368,-95.79182528422682,21,0,"(38.530093430806076, -92.10249825188025)",10502096.0,21_0_no,646.0,6.151153065064345e-05,6.151153065064345e-05,1.0,100208.0,2347.0,0.009541714339689906,0.00022347919881897862,104.80296982276865,4474.689390711546
NO,38.76419289226385,-99.49309267154676,41.66289907282156,35.86404558394921,-95.7917752254501,-103.19441011764344,22,0,"(38.76419289226385, -99.49309267154676)",2161532.0,22_0_no,258.0,0.00011935978741,0.00011935978741,1.0,37756.0,908.0,0.01746724082733913,0.0004200724301097555,57.25002648585655,2380.541850220264
NO,39.00025533582436,-106.90790922827584,41.89884293044411,36.100224113614914,-103.1943587126432,-110.62145974390847,23,0,"(39.000255335824356, -106.90790922827584)",6004821.0,23_0_no,171.0,2.847711863517664e-05,2.847711863517664e-05,1.0,48754.0,993.0,0.008119142935318138,0.00016536712751304326,123.16570948024777,6047.151057401813
NO,39.23831031979843,-114.34744016484876,42.13677817064459,36.33839642010752,-110.62140694187768,-118.07347338781985,24,0,"(39.23831031979843, -114.34744016484876)",2997329.0,24_0_no,81.0,2.7024060421795535e-05,2.7024060421795535e-05,1.0,27206.0,528.0,0.009076747997967524,0.0001761568383050376,110.17161655517165,5676.75946969697
NO,39.478388189041006,-121.81219196210554,42.376735127402725,36.57859286153471,-118.07341913542976,-125.55096478878134,25,0,"(39.478388189041006, -121.81219196210554)",14534197.0,25_0_no,312.0,2.1466614220242092e-05,2.1466614220242092e-05,1.0,85718.0,1958.0,0.005897677044008692,0.00013471676488216032,169.55828414102055,7422.981103166497
NO,43.55517719038129,-73.35836337033176,46.45145595112359,40.65742598073348,-69.37802746073737,-77.33869927992615,26,0,"(43.55517719038129, -73.35836337033176)",31306381.0,26_0_no,1466.0,4.68275141735482e-05,4.68275141735482e-05,1.0,246612.0,5801.0,0.00787737170898163,0.00018529768739478382,126.94589476586702,5396.721427340114
NO,43.83456363670009,-81.33740758392169,46.73070020557196,40.93695406006123,-77.33860952006685,-85.33620564777652,27,0,"(43.83456363670009, -81.33740758392169)",13867958.0,27_0_no,692.0,4.989919929091219e-05,4.989919929091219e-05,1.0,128915.0,2750.0,0.009295889128017262,0.00019829884111272907,107.5744327657759,5042.8938181818185
NO,44.11668527889604,-89.35382578517371,47.01267828011619,41.219218847849525,-85.33611282786809,-93.37153874247932,28,0,"(44.116685278896036, -89.35382578517371)",19210135.0,28_0_no,996.0,5.184763147161642e-05,5.184763147161642e-05,1.0,203333.0,3890.0,0.010584673142588534,0.00020249727552669464,94.47622864955517,4938.338046272494
