Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop
YES,45.25019717330383,-93.00326090614922,45.395002983573065,45.10538767569296,-92.79825702502721,-93.20826478727123,11758,0,"(45.25019717330383, -93.00326090614922)",101356.0
YES,45.25093311344084,-93.41327131583107,45.395738904971076,45.10612363457043,-93.2082647872373,-93.61827784442484,11759,0,"(45.25093311344084, -93.41327131583107)",360536.0
YES,45.25166907235774,-93.82328702062641,45.39647484514851,45.10685961222828,-93.61827784439089,-94.02829619686193,11760,0,"(45.25166907235774, -93.82328702062641)",100668.0
YES,45.25240505005551,-94.23330802087527,45.39721080410634,45.10759560866746,-94.02829619682798,-94.43831984492256,11761,0,"(45.25240505005551, -94.23330802087527)",14383.0
YES,45.25314104653511,-94.6433343169177,45.39794678184552,45.10833162388894,-94.43831984488861,-94.8483487889468,11762,0,"(45.25314104653511, -94.6433343169177)",3879.0
YES,45.253877061797496,-95.05336590909377,45.39868277836702,45.10906765789369,-94.84834878891283,-95.25838302927471,11763,0,"(45.253877061797496, -95.05336590909377)",11718.0
YES,45.25461309584363,-95.46340279774358,45.39941879367179,45.10980371068266,-95.25838302924075,-95.66842256624642,11764,0,"(45.25461309584363, -95.46340279774358)",6635.0
YES,45.255349148674476,-95.87344498320728,45.400154827760815,45.11053978225682,-95.66842256621246,-96.0784674002021,11765,0,"(45.255349148674476, -95.87344498320728)",3423.0
YES,45.256085220291006,-96.28349246582502,45.40089088063503,45.111275872617135,-96.07846740016812,-96.48851753148192,11766,0,"(45.256085220291006, -96.28349246582502)",3646.0
YES,45.25682131069417,-96.69354524593702,45.40162695229542,45.11201198176455,-96.48851753144794,-96.8985729604261,11767,0,"(45.25682131069417, -96.69354524593702)",6388.0
YES,45.257557419884954,-97.1036033238835,45.40236304274296,45.11274810970007,-96.89857296039212,-97.3086336873749,11768,0,"(45.257557419884954, -97.1036033238835)",2433.0
YES,45.25829354786429,-97.51366670000476,45.40309915197859,45.11348425642463,-97.30863368734092,-97.71869971266861,11769,0,"(45.25829354786429, -97.51366670000476)",2591.0
YES,45.25902969463317,-97.92373537464108,45.40383528000327,45.11422042193918,-97.71869971263463,-98.12877103664754,11770,0,"(45.25902969463317, -97.92373537464108)",943.0
YES,45.25976586019254,-98.3338093481328,45.40457142681797,45.114956606244704,-98.12877103661356,-98.53884765965205,11771,0,"(45.25976586019254, -98.3338093481328)",1169.0
YES,45.260502044543365,-98.74388862082027,45.40530759242366,45.11569280934217,-98.53884765961806,-98.94892958202249,11772,0,"(45.260502044543365, -98.74388862082027)",746.0
YES,45.26197446962326,-99.56406306514414,45.40677998001187,45.11716527191675,-99.35901680406532,-99.76910932622296,11774,0,"(45.26197446962326, -99.56406306514414)",343.0
YES,45.26271071035425,-99.97415823746142,45.40751620199631,45.1179015313958,-99.76910932618897,-100.17920714873388,11775,0,"(45.26271071035425, -99.97415823746142)",624.0
YES,45.26344696988054,-100.38425871033625,45.408252442775584,45.11863780967062,-100.17920714869989,-100.58931027197262,11776,0,"(45.26344696988054, -100.38425871033625)",3974.0
YES,45.264183248203125,-100.79436448410915,45.408988702350655,45.1193741067422,-100.58931027193861,-100.99941869627969,11777,0,"(45.264183248203125, -100.79436448410915)",127.0
YES,45.26712854947552,-102.43484059499322,45.41193392862836,45.122319483015374,-102.22977577898293,-102.63990541100351,11781,0,"(45.26712854947552, -102.43484059499322)",548.0
YES,45.270810599098034,-104.48555504468185,45.41561588449686,45.12600162639952,-104.2804769700388,-104.69063311932489,11786,0,"(45.270810599098034, -104.48555504468185)",148.0
YES,45.27154706543646,-104.89571384617167,45.416352332083065,45.12673811149169,-104.69063311929085,-105.1007945730525,11787,0,"(45.27154706543646, -104.89571384617167)",0.0
YES,45.273020054534925,-105.71604736343029,45.41782528367568,45.1282111380991,-105.51096133156253,-105.92113339529806,11789,0,"(45.273020054534925, -105.71604736343029)",0.0
YES,45.27375657729691,-106.12622207988096,45.41856178768403,45.12894767961625,-105.92113339526401,-106.33131076449791,11790,0,"(45.27375657729691, -106.12622207988096)",29.0
YES,45.27449311886867,-106.5364021020005,45.41929831050169,45.12968423994368,-106.33131076446386,-106.74149343953712,11791,0,"(45.27449311886867, -106.5364021020005)",278.0
YES,45.27522967925118,-106.94658743012991,45.42003485212962,45.13042081908231,-106.74149343950307,-107.15168142075674,11792,0,"(45.27522967925118, -106.94658743012991)",1155.0
YES,45.27596625844543,-107.35677806461025,45.420771412568804,45.131157417033144,-107.15168142072268,-107.56187470849783,11793,0,"(45.27596625844543, -107.35677806461025)",1661.0
YES,45.27670285645234,-107.7669740057826,45.42150799182021,45.13189403379714,-107.56187470846376,-107.97207330310144,11794,0,"(45.27670285645234, -107.7669740057826)",523.0
YES,45.278176108908085,-108.5873818095678,45.422981206763474,45.13336732376846,-108.3822772048747,-108.7924864142609,11796,0,"(45.278176108908085, -108.5873818095678)",2304.0
YES,45.27891276335884,-108.99759367286298,45.4237178424573,45.134103996977714,-108.79248641422684,-109.20270093149911,11797,0,"(45.27891276335884, -108.99759367286298)",0.0
YES,45.279649436626144,-109.40781084421481,45.42445449696718,45.13484068900399,-109.20270093146505,-109.61292075696457,11798,0,"(45.279649436626144, -109.40781084421481)",3338.0
YES,45.28038612871096,-109.81803332396453,45.425191170294106,45.13557739984826,-109.6129207569305,-110.02314589099855,11799,0,"(45.28038612871096, -109.81803332396453)",785.0
YES,45.281859569336994,-110.63849421002276,45.42666457340296,45.13705087799462,-110.43337633390826,-110.84361208613726,11801,0,"(45.281859569336994, -110.63849421002276)",125.0
YES,45.28259631788015,-111.04873261701393,45.42740130318682,45.137787645298644,-110.84361208610318,-111.25385314792467,11802,0,"(45.28259631788015, -111.04873261701393)",2813.0
YES,45.283333085244685,-111.45897633376826,45.428138051791564,45.138524431424536,-111.25385314789058,-111.66409951964594,11803,0,"(45.283333085244685, -111.45897633376826)",4861.0
YES,45.284069871431555,-111.8692253606272,45.4288748192182,45.13926123637323,-111.66409951961187,-112.07435120164253,11804,0,"(45.284069871431555, -111.8692253606272)",169.0
YES,45.28628034293589,-113.10000430524603,45.431085234438946,45.141471764165885,-112.89487049779332,-113.30513811269874,11807,0,"(45.28628034293589, -113.10000430524603)",147.0
YES,45.287017204421815,-113.510274575938,45.43182207716272,45.142208644415525,-113.30513811266464,-113.71541103921136,11808,0,"(45.287017204421815, -113.510274575938)",146.0
YES,45.28775408473491,-113.92055015844205,45.432558938713214,45.14294554349282,-113.71541103917725,-114.12568927770685,11809,0,"(45.28775408473491, -113.92055015844205)",583.0
YES,45.29143876874187,-115.97200776010085,45.436243528900036,45.146630321327905,-115.76685535831639,-116.17716016188531,11814,0,"(45.29143876874187, -115.97200776010085)",0.0
YES,45.29217576203833,-116.38231522065219,45.43698050343105,45.14736733339142,-116.17716016185119,-116.58747027945319,11815,0,"(45.29217576203833, -116.38231522065219)",975.0
YES,45.29364980513407,-117.20294608470861,45.438454508994475,45.14884141402269,-116.99778571136181,-117.40810645805541,11817,0,"(45.29364980513407, -117.20294608470861)",1954.0
YES,45.2943868549353,-117.61326948889739,45.43919154002884,45.149578482592375,-117.40810645802128,-117.8184325197735,11818,0,"(45.2943868549353, -117.61326948889739)",2494.0
YES,45.295123923573364,-118.0235982083157,45.43992858989958,45.1503155699994,-117.81843251973935,-118.22876389689206,11819,0,"(45.295123923573364, -118.0235982083157)",17388.0
YES,45.296598117363935,-118.84427159420873,45.44140274615405,45.1517898013293,-118.63910058971894,-119.04944259869853,11821,0,"(45.296598117363935, -118.84427159420873)",1718.0
YES,45.298072386513525,-119.6649662451235,45.44287697776566,45.15326410802011,-119.45978992403626,-119.87014256621073,11823,0,"(45.298072386513525, -119.6649662451235)",2148.0
YES,45.29880954935037,-120.0753215458191,45.4436141218328,45.15400128962828,-119.87014256617658,-120.2805005254616,11824,0,"(45.29880954935037, -120.0753215458191)",1014.0
YES,45.29954673102988,-120.48568216379628,45.44435128474214,45.154738490079595,-120.28050052542746,-120.69086380216511,11825,0,"(45.29954673102988, -120.48568216379628)",42.0
YES,45.30028393155301,-120.89604809939718,45.445088466494624,45.155475709375,-120.69086380213095,-121.1012323966634,11826,0,"(45.30028393155301, -120.89604809939718)",313.0
YES,45.30102115092075,-121.30641935296394,45.44582566709124,45.156212947515485,-121.10123239662924,-121.51160630929864,11827,0,"(45.30102115092075, -121.30641935296394)",727.0
YES,45.30175838913405,-121.71679592483875,45.44656288653296,45.15695020450202,-121.51160630926448,-121.92198554041302,11828,0,"(45.30175838913405, -121.71679592483875)",4971.0
YES,45.30249564619389,-122.12717781536382,45.44730012482073,45.15768748033556,-121.92198554037886,-122.33237009034879,11829,0,"(45.30249564619389, -122.12717781536382)",31898.0
