Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop,market_id,Market_Dealers_Total,Market_Units_Total,Dealers_to_CenterPop_Ratio,Units_to_CenterPop_Ratio,Units_per_Dealer_Avg
NO,39.12650941223155,-77.60812228440243,41.30053941209637,36.951666337379024,-74.8173254100869,-80.39891915871796,37,0,"(39.12650941223155, -77.60812228440243)",22944113.0,37_0_no,1081,1081.0,4.711448204600457e-05,4.711448204600457e-05,1.0
NO,39.26066840608827,-83.19500686646411,41.43464786190451,37.08587511741405,-80.39890651344695,-85.99110721948128,38,0,"(39.26066840608827, -83.19500686646411)",11832033.0,38_0_no,729,729.0,6.161240422503893e-05,6.161240422503893e-05,1.0
NO,39.39546739695489,-88.79255937202548,41.56939602894267,37.22072418867083,-85.99109437976568,-91.59402436428527,39,0,"(39.39546739695489, -88.79255937202548)",8816873.0,39_0_no,504,504.0,5.7163123479265266e-05,5.7163123479265266e-05,1.0
NO,39.5309118996694,-94.40090312118484,41.70478942654885,37.35621906773071,-91.5940113259418,-97.20779491642791,40,0,"(39.5309118996694, -94.40090312118485)",5559281.0,40_0_no,357,357.0,6.421693740611421e-05,6.421693740611421e-05,1.0
NO,39.66700751270976,-100.0201634628933,41.840833651693984,37.49236535482581,-97.20778167515547,-102.83254525063111,41,0,"(39.66700751270976, -100.0201634628933)",704119.0,41_0_no,107,107.0,0.00015196294944462514,0.00015196294944462514,1.0
NO,39.80375992004028,-105.650467820747,41.97753438682829,37.62916873568548,-102.83253180200674,-108.46840383948724,42,0,"(39.80375992004028, -105.650467820747)",5404432.0,42_0_no,150,150.0,2.775499812006146e-05,2.775499812006146e-05,1.0
NO,39.94117489301103,-111.29194574011127,42.11489740178073,37.76663498343587,-108.46839017896184,-114.11550130126072,43,0,"(39.94117489301103, -111.29194574011127)",2956385.0,43_0_no,79,79.0,2.672182411965965e-05,2.672182411965965e-05,1.0
NO,40.07925829231225,-116.9447289366236,42.25292855571333,37.90476996055435,-114.11548742415454,-119.77397044909269,44,0,"(40.07925829231225, -116.9447289366236)",260556.0,44_0_no,11,11.0,4.221741199588572e-05,4.221741199588572e-05,1.0
NO,40.21801606998554,-122.60895134612532,42.39163379913249,38.04357962088085,-119.77395635059077,-125.44394634165988,45,0,"(40.21801606998554, -122.60895134612531)",4821499.0,45_0_no,124,124.0,2.5718142843128246e-05,2.5718142843128246e-05,1.0
NO,43.14340631155544,-68.59074587526736,45.31591081877367,40.97007384968541,-65.6245801944834,-71.55691155605132,46,0,"(43.14340631155544, -68.59074587526736)",6252688.0,46_0_no,403,403.0,6.445228036326137e-05,6.445228036326137e-05,1.0
